replicate,n_questions,A_full,A_block,A_I,B_full,B_block,B_I,den_full_min,den_full_max,den_block_min,den_block_max,den_full_mean,den_block_mean
1,470,0.7204533439378511,1.0759342430145691,-0.35548089907671798,0.72327915684076949,0.34905333333333638,0.37422582350743311,0.13660638297872335,0.16340070921985805,-0.012574468085106427,0.027212765957446705,0.15044734042553184,0.013297872340425477
2,470,0.62257438837984258,0.49743145797841004,0.12514293040143254,0.62507199946184333,0.19778680649604732,0.42728519296579603,0.14646808510638304,0.19519148936170216,-0.0017163120567376122,0.063629432624113469,0.1686872340425532,0.03063510638297871
3,470,0.65156307791048462,0.81777231014342533,-0.16620923223294071,0.65672667419614306,0.42372340849599421,0.23300326570014884,0.12635460992907804,0.17627304964539009,-0.0067039007092197789,0.035287234042553239,0.15274875886524825,0.013343794326241193
4,470,0.66844773920341227,0.23039274042738828,0.438054998776024,0.67096285229794506,0.31254156243072911,0.35842128986721594,0.14515425531914894,0.20308865248226954,-0.0046418439716312543,0.051927304964539067,0.1625913120567376,0.022396453900709202
5,470,0.68572558515256721,0.83454427476420423,-0.14881868961163702,0.68552948603971009,0.33187597550178571,0.35365351053792438,0.14247872340425533,0.18365248226950354,-0.0057446808510638325,0.041719858156028411,0.16513404255319147,0.019425354609929047
6,470,0.63800110575665503,0.55571774604514868,0.082283359711506354,0.64033064852290678,0.26537273543779777,0.37495791308510901,0.13879432624113464,0.18389007092198567,0.006705673758865105,0.043789007092198351,0.1582319148936169,0.024281382978723252
7,470,0.65916065614119512,0.079077822779380871,0.58008283336181421,0.65864966278356862,0.16033151413527669,0.49831814864829194,0.16523758865248223,0.20124113475177297,0.0086347517730496204,0.046693262411347414,0.18074024822695028,0.033202482269503508
8,470,0.748213584881673,26.110596665308389,-25.362383080426717,0.74685387565693495,1.6348097268277579,-0.88795585117082299,0.12419148936170199,0.17451063829787228,-0.016570921985815668,0.020010638297872196,0.14733031914893607,0.0044914893617020498
9,470,0.60992370145499542,0.069716348100072406,0.54020735335492298,0.61278037427829446,0.096707363450089845,0.51607301082820456,0.14951063829787231,0.19555673758865239,0.0082056737588651618,0.049205673758865198,0.1669975177304964,0.031237765957446782
10,470,0.68114759861155472,3.1804446013206222,-2.4992970027090675,0.68058958045100804,0.26628814762242692,0.41430143282858112,0.14707446808510644,0.1828333333333334,0.00046099290780143853,0.05308156028368799,0.16096312056737597,0.029978723404255392
